########

## 	Model: LSTM with N=1024

########

0	0.427370
1	0.370823
2	0.326453
3	0.303713
4	0.280481
5	0.270448
6	0.257541
7	0.251852
8	0.248211
9	0.245055
10	0.242329
11	0.240782
12	0.238653
13	0.238429
14	0.237380
15	0.235567
16	0.235281
17	0.235365
18	0.232527
19	0.233002
20	0.232429
21	0.231599
22	0.231657
23	0.231298
24	0.229753
25	0.230057
26	0.231125
27	0.229258
28	0.229743
29	0.229906
30	0.229519
31	0.228406
32	0.228908
33	0.228285
34	0.228028
35	0.229144
36	0.228105
37	0.228871
38	0.228384
39	0.227829
40	0.227868
41	0.228529
42	0.228549
43	0.229422
44	0.230738
45	0.234287
46	0.246333
47	0.285384
48	0.367330
49	0.515012
50	0.541106
51	0.464591
52	0.331685
53	0.307828
54	0.352276
55	0.415414
56	0.441124
57	0.367153
58	0.295781
59	0.251782
60	0.242588
61	0.245376
62	0.260917
63	0.308174
64	0.391891
65	0.477348
66	0.405926
67	0.285320
68	0.244416
69	0.243906
70	0.262529
71	0.329243
72	0.447782
73	0.462607
74	0.308935
75	0.253385
76	0.245874
77	0.272269
78	0.330624
79	0.403805
80	0.390683
81	0.321552
82	0.338939
83	0.428448
84	0.370315
85	0.298212
86	0.262871
87	0.341725
88	0.448260
89	0.405281
90	0.244143
91	0.229243
92	0.227138
93	0.230201
94	0.234823
95	0.254013
96	0.289891
97	0.332482
98	0.313017
99	0.255077
100	0.234027
101	0.230474
102	0.234906
103	0.250931
104	0.289236
105	0.329879
106	0.296702
107	0.256310
108	0.244240
109	0.264556
110	0.294945
111	0.302798
112	0.255603
113	0.233308
114	0.227842
115	0.225614
116	0.228518
117	0.246406
118	0.297490
119	0.381458
120	0.294650
121	0.370280
122	0.255454
123	1.652388
124	0.520108
125	0.439173
126	0.412651
127	0.268938
128	0.264372
129	0.238859
130	0.232593
131	0.229273
132	0.227385
133	0.228046
134	0.227239
135	0.228055
136	0.230448
137	0.231893
138	0.236546
139	0.239234
140	0.242323
141	0.237495
142	0.233885
143	0.228042
144	0.228789
145	0.225264
146	0.226784
147	0.229211
148	0.237485
149	0.247318
150	0.272212
151	0.269806
152	0.254893
153	0.240213
154	0.254462
155	0.279045
156	0.500556
157	0.569085
158	0.545267
159	0.300422
160	0.297160
161	0.252643
162	0.254040
163	0.242458
164	0.230008
165	0.225624
166	0.223259
167	0.221666
168	0.223648
169	0.224682
170	0.225843
171	0.230083
172	0.236393
173	0.244987
174	0.240641
175	0.243824
176	0.231933
177	0.232832
178	0.227277
179	0.226506
180	0.226500
181	0.232053
182	0.237169
183	0.245418
184	0.247049
185	0.528454
186	0.245390
187	0.300963
188	0.331777
189	0.804572
190	0.370267
191	0.415332
192	0.309742
193	0.229396
194	0.225148
195	0.224412
196	0.226757
197	0.225890
198	0.229318
199	0.231287
200	0.232233
201	0.245281
202	0.221999
203	0.220403
204	0.219413
205	0.220519
206	0.220727
207	0.220385
208	0.221477
209	0.221588
210	0.226351
211	0.243121
212	0.241720
213	0.246699
214	0.231699
215	0.226233
216	0.228490
217	0.227721
218	0.233232
219	0.231715
220	0.242685
221	0.231042
222	0.250699
223	0.235614
224	0.345026
225	0.342609
226	0.328932
227	0.260893
228	0.301191
229	0.263346
230	0.255513
231	0.232218
232	0.233706
233	0.221553
234	0.221902
235	0.218719
236	0.218118
237	0.218303
238	0.218810
239	0.217317
240	0.217714
241	0.219046
242	0.219157
243	0.222539
244	0.228956
245	0.231594
246	0.232033
247	0.230125
248	0.225611
249	0.224991
250	0.226967
251	0.237439
252	0.234923
253	0.304922
254	0.289067
255	0.321299
256	0.244946
257	0.256148
258	0.241936
259	0.230359
260	0.221414
261	0.217475
262	0.214845
263	0.217514
264	0.214847
265	0.215453
266	0.214756
267	0.214399
268	0.216893
269	0.216673
270	0.221454
271	0.221437
272	0.222409
273	0.220052
274	0.221526
275	0.225205
276	0.224045
277	0.220342
278	0.218855
279	0.228335
280	0.226115
281	0.360249
282	0.244020
283	0.230868
284	0.240958
285	0.218535
286	0.220316
287	0.216389
288	0.214335
289	0.213633
290	0.213400
291	0.217337
292	0.214761
293	0.218064
294	0.217025
295	0.221044
296	0.218822
297	0.216115
298	0.213667
299	0.217280
300	0.215907
301	0.215436
302	0.214681
303	0.216545
304	0.217995
305	0.222206
306	0.216387
307	0.222600
308	0.224963
309	0.246215
310	0.264217
311	0.274854
312	0.248908
313	0.235419
314	0.217387
315	0.213208
316	0.211123
317	0.208059
318	0.210898
319	0.211174
320	0.214856
321	0.213874
322	0.213914
323	0.209623
324	0.210593
325	0.205992
326	0.210712
327	0.210997
328	0.209718
329	0.206079
330	0.205814
331	0.207380
332	0.214951
333	0.209790
334	0.208676
335	0.209186
336	0.208510
337	0.209606
338	0.218525
339	0.223391
340	0.253894
341	0.237244
342	0.221941
343	0.207229
344	0.200449
345	0.193923
346	0.198832
347	0.191298
348	0.187193
349	0.186194
350	0.179294
351	0.174264
352	0.172437
353	0.172006
354	0.167144
355	5.482516
356	0.244976
357	0.246205
358	0.216324
359	0.211066
360	0.210250
361	0.208481
362	0.206103
363	0.207201
364	0.208010
365	0.207109
366	0.207159
367	0.205498
368	0.205765
369	0.203698
370	0.204432
371	0.203311
372	0.204699
373	0.203966
374	0.200845
375	0.201370
376	0.201825
377	0.201010
378	0.202281
379	0.198231
380	0.199306
381	0.199592
382	0.196931
383	0.201925
384	0.205552
385	0.204774
386	0.197026
387	0.194460
388	0.192682
389	0.194745
390	0.192645
391	0.190898
392	0.190342
393	0.191221
394	0.191593
395	0.205947
396	0.196391
397	0.190336
398	0.186300
399	0.182642
400	0.184202
401	0.188490
402	0.221189
403	0.205782
404	0.188274
405	0.183920
