########

## 	Model: LSTM with N=512

########

454	0.227451
455	0.230264
456	0.226222
457	0.226318
458	0.224034
459	0.223734
460	0.223399
461	0.224374
462	0.225400
463	0.225380
464	0.222599
465	0.225494
466	0.225112
467	0.224514
468	0.223395
469	0.223861
470	0.222583
471	0.223122
472	0.225705
473	0.224653
474	0.226284
475	0.223223
476	0.223901
477	0.222420
478	0.220082
479	0.221440
480	0.224195
481	0.222506
482	0.224938
483	0.221062
484	0.221675
485	0.219141
486	0.218884
487	0.221716
488	0.221697
489	0.217029
490	0.216304
491	0.215537
492	0.224234
493	0.218621
494	0.214636
495	0.212212
496	0.206838
497	0.219165
498	0.210235
499	0.200005
500	0.217396
501	0.219188
502	0.211337
503	0.201503
504	0.239354
505	0.219922
506	0.217454
507	0.213994
508	0.212468
509	0.213344
510	0.210353
511	0.204595
512	0.201206
513	0.196856
514	0.195000
515	0.194429
516	0.207605
517	0.220267
518	0.210717
519	0.207121
520	0.201822
521	0.195542
522	0.191022
523	0.191114
524	0.208479
525	0.210050
526	0.196460
527	0.188649
528	0.184993
529	0.190157
530	0.199065
531	0.211558
532	0.198777
533	0.187959
534	0.186116
535	0.201032
536	0.188510
537	0.201753
538	0.219866
539	0.213376
540	0.209484
541	0.206012
542	0.199737
543	0.188482
544	0.185363
545	0.182682
546	0.183256
547	0.199756
548	0.186676
549	0.185352
550	0.193199
551	0.186036
552	0.210856
553	0.204897
554	0.184082
555	0.182389
556	0.204580
557	0.191427
558	0.180314
559	0.180704
560	0.192701
561	0.174771
562	0.180232
563	0.180691
564	0.189772
565	0.209045
566	0.205314
567	0.200424
568	0.187744
569	0.176010
570	0.174553
571	0.175172
572	0.184206
573	0.176685
574	0.189002
575	0.176345
576	0.184669
577	0.222304
578	0.212940
579	0.204434
580	0.198131
581	0.230329
582	0.209657
583	0.202009
584	0.194800
585	0.184273
586	0.174303
587	0.176314
588	0.177978
589	0.184985
590	0.176382
591	0.177371
592	0.181494
593	0.191226
594	0.199248
595	0.192355
596	0.178457
597	0.176904
598	0.179436
599	0.187887
600	0.183020
601	0.177452
602	0.185793
603	0.183543
604	0.186059
605	0.178816
606	0.187737
607	0.203175
608	0.188070
609	0.182193
610	0.188980
611	0.185793
612	0.196774
613	0.181405
614	0.175752
615	0.180911
616	0.183024
617	0.198798
618	0.184527
619	0.171836
620	0.172142
621	0.175270
622	0.187280
623	0.203213
624	0.187607
625	0.173014
626	0.171841
627	0.174694
628	0.178099
629	0.195721
630	0.179289
631	0.170684
632	0.185042
