########

## 	Model: LSTM with N=1024

########

454	0.184235
455	0.174659
456	0.173473
457	0.179654
458	0.177648
459	0.191462
460	0.175680
461	0.170735
462	0.185346
463	0.184921
464	0.173179
465	0.180311
466	0.178393
467	0.179002
468	0.177509
469	0.161207
470	0.157277
471	0.252727
472	0.190473
473	0.201591
474	0.170006
475	0.162281
476	0.162006
477	0.161512
478	0.162289
479	0.160186
480	0.160298
481	0.156818
482	0.163195
483	0.161671
484	0.160283
485	0.164863
486	0.170641
487	0.162170
488	0.157077
489	0.172681
490	0.167214
491	0.165950
492	0.169704
493	0.160129
494	0.163440
495	0.163740
496	0.154823
497	0.156904
498	0.152665
499	0.158982
500	0.157141
501	0.148924
502	0.142519
503	0.132232
504	0.138162
505	0.134681
506	0.135571
507	0.373060
508	0.167241
509	0.160112
510	0.166164
511	0.161195
512	0.157000
513	0.162832
514	0.157508
515	0.155417
516	0.152359
517	0.150432
518	0.152550
519	0.158644
520	0.157556
521	0.156990
522	0.159974
523	0.159934
524	0.158916
525	0.155705
526	0.156624
527	0.157448
528	0.153138
529	0.158732
530	0.156189
531	0.152487
532	0.153174
533	0.155806
534	0.155359
535	0.146054
536	0.151546
537	0.148891
538	0.158757
539	0.141833
540	0.142467
541	0.145967
542	0.151394
543	0.125975
544	0.120334
545	0.129287
546	0.121555
547	0.139215
548	0.119985
549	0.141605
550	0.120720
551	0.137441
552	0.115096
553	0.115515
554	0.129753
555	0.126980
556	0.131686
557	0.122951
558	0.135011
559	0.151250
560	0.146501
561	0.145196
562	0.114644
563	0.115646
564	0.118175
565	0.111663
566	0.134388
567	0.113771
568	0.123317
569	0.118418
570	0.131769
571	0.162943
572	0.150303
573	0.140621
574	0.138776
575	0.139664
576	0.130934
577	0.147383
578	0.161371
579	0.181322
580	0.156623
581	0.124732
582	0.117493
583	0.133955
584	0.114691
585	0.124020
586	0.112109
587	0.126943
588	0.123545
589	0.126696
590	0.140865
591	0.167260
592	0.144678
593	0.147729
594	0.142737
595	0.145775
596	0.151483
597	0.168732
598	0.140699
599	0.116763
600	0.115486
601	0.111693
602	0.112293
603	0.117029
604	0.134127
605	0.100069
606	0.104229
607	0.121372
608	0.116039
609	0.124675
610	0.114690
611	0.140642
612	0.110697
613	0.119697
614	0.132997
615	0.188410
616	0.150774
617	0.150153
618	0.167396
619	0.148621
620	0.122245
621	0.120695
622	0.151104
623	0.133448
624	0.118648
625	0.111689
626	0.144025
627	0.115986
628	0.118283
629	0.112938
630	0.114220
631	0.146514
632	0.120424
633	0.114015
634	0.118635
635	0.155813
636	0.130743
637	0.120944
638	0.122571
639	0.119024
640	0.126627
641	0.139732
642	0.153857
643	0.132342
644	0.120067
645	0.113107
646	0.118796
647	0.118668
648	0.118396
649	0.120556
650	0.144438
651	0.121097
652	0.125518
653	0.118352
654	0.147499
655	0.112230
656	0.112090
657	0.110331
658	0.106464
659	0.115993
660	0.119805
661	0.131340
662	0.150267
663	0.136363
664	0.120077
665	0.119511
666	0.120653
667	0.123225
668	0.142682
669	0.113124
670	0.122064
671	0.127929
672	0.113657
673	0.139548
674	0.110661
675	0.112675
676	0.106779
677	0.120963
678	0.136997
679	0.104820
680	0.115906
681	0.115415
682	0.133275
683	0.112395
684	0.120649
685	0.115305
686	0.134918
687	0.103563
688	0.111600
689	0.110671
690	0.116583
