########

## 	Model: LSTM with N=1024

########

454	0.115685
455	0.109902
456	0.115567
457	0.127534
458	0.166072
459	0.135295
460	0.134898
461	0.132580
462	0.134058
463	0.148549
464	0.114409
465	0.102298
466	0.120508
467	0.116333
468	0.119300
469	0.112616
470	0.108261
471	0.114355
472	0.149357
473	0.126354
474	0.124553
475	0.119167
476	0.103506
477	0.114474
478	0.112673
479	0.124013
480	0.116136
481	0.112116
482	0.130344
483	0.126590
484	0.121681
485	0.117349
486	0.126962
487	0.116699
488	0.112076
489	0.117504
490	0.119274
491	0.121176
492	0.120575
493	0.145425
494	0.117963
495	0.107991
496	0.104755
497	0.106966
498	0.119419
499	0.121718
500	0.138855
501	0.109275
502	0.103262
503	0.112624
504	0.116112
505	0.125192
506	0.113373
507	0.130763
508	0.122447
509	0.113273
510	0.114748
511	0.114511
512	0.115984
513	0.129669
514	0.109138
515	0.117373
516	0.119839
517	0.120156
518	0.110987
519	0.139184
520	0.120170
521	0.108294
522	0.118841
523	0.120912
524	0.122477
525	0.141499
526	0.115689
527	0.097393
528	0.118209
529	0.107328
530	0.121713
531	0.108009
532	0.109112
533	0.107150
534	0.106135
535	0.116775
536	0.133395
537	0.112390
538	0.109603
539	0.119657
540	0.123053
541	0.114123
542	0.131717
543	0.105791
544	0.109517
545	0.117894
546	0.122843
547	0.119286
548	0.112854
549	0.123847
550	0.114243
551	0.128172
552	0.107738
553	0.114930
554	0.111213
555	0.137069
556	0.110532
557	0.113150
558	0.110120
559	0.106724
560	0.134644
561	0.104414
562	0.104644
563	0.105473
564	0.107162
565	0.119335
566	0.120361
567	0.123361
568	0.136598
569	0.120539
570	0.109331
571	0.116456
572	0.110409
573	0.122598
574	0.124024
575	0.106970
576	0.118304
577	0.115875
578	0.135099
579	0.094237
580	0.107624
581	0.117247
582	0.110694
583	0.114448
584	0.118313
585	0.125599
586	0.111892
587	0.116924
588	0.109627
589	0.125609
590	0.105550
591	0.109544
592	0.110859
593	0.112308
594	0.112171
595	0.114234
596	0.120605
597	0.122267
598	0.111088
599	0.120301
600	0.116323
601	0.108497
602	0.119802
603	0.141555
604	0.120155
605	0.106297
606	0.105710
607	0.114094
608	0.114201
609	0.115806
610	0.117326
611	0.111015
612	0.130053
613	0.104832
614	0.110892
615	0.114034
616	0.113891
617	0.110860
618	0.113007
619	0.139596
620	0.118178
621	0.105399
622	0.099242
623	0.111354
624	0.118990
625	0.111666
626	0.134439
627	0.117899
628	0.104594
629	0.116658
630	0.114549
631	0.118181
632	0.111628
633	0.130745
634	0.101977
635	0.109474
636	0.106423
637	0.111839
638	0.110388
639	0.116725
640	0.107778
641	0.113288
642	0.114130
643	0.138018
644	0.124122
645	0.114989
646	0.114796
647	0.119384
648	0.118655
649	0.116132
650	0.108184
651	0.134967
652	0.114071
653	0.107635
654	0.106659
655	0.104696
656	0.106922
657	0.111344
658	0.111265
659	0.106303
660	0.113146
661	0.114823
662	0.117401
663	0.120818
664	0.103491
665	0.126552
666	0.108577
667	0.119857
668	0.113200
669	0.135527
670	0.112884
671	0.108379
672	0.105315
673	0.104959
674	0.109900
675	0.116834
676	0.104913
677	0.100068
678	0.112672
679	0.106467
680	0.109648
681	0.119164
682	0.116967
683	0.111569
684	0.110802
685	0.118280
686	0.118596
687	0.104248
688	0.114402
689	0.109113
690	0.120865
691	0.110681
692	0.103844
693	0.113000
694	0.107376
695	0.115099
696	0.112430
697	0.116128
698	0.113398
699	0.116716
700	0.114022
701	0.118122
702	0.108929
703	0.141338
704	0.116913
705	0.108131
706	0.107995
707	0.113927
708	0.108802
709	0.106695
710	0.103936
711	0.109529
712	0.107663
713	0.113735
714	0.102536
715	0.124889
716	0.118982
717	0.108292
718	0.116572
719	0.113937
720	0.115141
721	0.108294
722	0.110850
723	0.107317
724	0.114398
725	0.108334
726	0.118683
727	0.113339
728	0.109105
729	0.112675
730	0.126287
731	0.113573
732	0.103287
733	0.103192
734	0.102356
735	0.116577
736	0.099706
737	0.106444
738	0.109337
739	0.105832
740	0.111624
741	0.118751
742	0.112884
743	0.117537
744	0.107470
745	0.107942
746	0.105188
747	0.123242
748	0.104970
749	0.106958
750	0.115184
751	0.103551
752	0.108977
753	0.109870
754	0.111170
755	0.102197
756	0.105900
757	0.111016
758	0.112753
759	0.110211
760	0.118992
761	0.124509
762	0.112484
763	0.106726
764	0.124052
765	0.115120
766	0.109720
767	0.106319
768	0.122951
769	0.113121
770	0.109198
771	0.101633
772	0.105914
773	0.111419
774	0.119249
775	0.115165
776	0.111257
777	0.109477
778	0.118399
779	0.121597
780	0.103694
781	0.105623
782	0.113954
783	0.115259
784	0.105733
785	0.115554
786	0.106050
787	0.116535
788	0.107030
789	0.118551
790	0.120156
791	0.107204
792	0.107711
793	0.109547
794	0.117196
795	0.109310
796	0.102302
797	0.124237
798	0.106976
799	0.105172
800	0.104056
801	0.123517
802	0.101745
803	0.117599
804	0.106964
805	0.113178
806	0.110871
807	0.117095
808	0.105507
809	0.114231
810	0.109552
811	0.104991
812	0.114532
813	0.113463
814	0.106819
815	0.111757
816	0.106915
817	0.118000
818	0.099979
819	0.107371
820	0.114454
821	0.113151
822	0.111426
823	0.106924
824	0.103868
825	0.123503
826	0.101628
827	0.099803
828	0.101015
829	0.113535
830	0.107639
831	0.108136
832	0.110447
833	0.128859
834	0.102733
835	0.106755
836	0.104168
837	0.111161
838	0.110902
839	0.103927
840	0.107781
841	0.108744
842	0.116314
843	0.103403
844	0.118368
845	0.109113
846	0.109845
847	0.110855
848	0.114805
849	0.106792
850	0.119459
851	0.122636
852	0.107933
853	0.108643
854	0.118898
855	0.103459
856	0.120861
857	0.105130
858	0.103773
859	0.106918
860	0.102979
861	0.101308
862	0.109044
863	0.104410
864	0.127832
865	0.111288
866	0.105934
867	0.111538
868	0.106455
869	0.122296
870	0.103512
871	0.115796
872	0.113571
873	0.110572
874	0.108401
875	0.121906
876	0.116575
877	0.100210
878	0.100288
879	0.119732
880	0.110924
881	0.110971
882	0.108688
883	0.106278
884	0.104508
885	0.128494
886	0.107850
887	0.103552
888	0.108692
889	0.104278
890	0.103659
891	0.105858
892	0.106650
893	0.112676
894	0.108523
895	0.111371
896	0.116370
897	0.114449
898	0.118252
899	0.113371
900	0.127032
901	0.116067
902	0.106097
903	0.108049
904	0.105474
905	0.106997
906	0.113549
907	0.109236
908	0.116987
909	0.112577
910	0.128199
911	0.109121
912	0.107374
913	0.112180
914	0.110139
915	0.110351
916	0.104792
917	0.114250
918	0.100362
919	0.120415
920	0.108635
921	0.112968
922	0.113635
923	0.110600
924	0.101280
925	0.124212
926	0.111530
927	0.104884
928	0.103716
929	0.107171
930	0.109972
931	0.100532
932	0.119830
933	0.110186
934	0.111609
935	0.110834
936	0.111574
937	0.109444
938	0.112641
939	0.111246
940	0.104008
941	0.114182
942	0.112960
943	0.093118
944	0.113040
945	0.106303
946	0.117245
947	0.103069
948	0.105358
949	0.104297
950	0.101168
951	0.106263
952	0.106081
953	0.111235
954	0.108911
955	0.116597
956	0.110120
957	0.111273
958	0.120189
959	0.116423
960	0.103731
961	0.105192
962	0.119329
963	0.105408
964	0.107201
965	0.113979
966	0.115420
967	0.109129
968	0.109247
969	0.105173
970	0.120523
971	0.114281
972	0.115540
973	0.104995
974	0.105296
975	0.110849
976	0.112647
977	0.111418
978	0.111867
979	0.110960
980	0.116985
981	0.109189
982	0.111736
983	0.107957
984	0.119705
985	0.099024
986	0.109871
987	0.112171
988	0.116111
989	0.105140
990	0.109779
991	0.110835
992	0.111692
993	0.112058
994	0.111765
995	0.110495
996	0.105519
997	0.109343
998	0.111781
999	0.111007
1000	0.107242
1001	0.109864
1002	0.110215
1003	0.112702
1004	0.100940
1005	0.109756
1006	0.117187
1007	0.106618
1008	0.109445
1009	0.118016
1010	0.108865
1011	0.111238
1012	0.111428
1013	0.118057
1014	0.118832
1015	0.115668
1016	0.105981
1017	0.120020
1018	0.106234
1019	0.103689
1020	0.106261
1021	0.105564
1022	0.115267
1023	0.109273
1024	0.115850
1025	0.111144
1026	0.111411
1027	0.108968
1028	0.112674
1029	0.110861
1030	0.119264
1031	0.098673
1032	0.108046
1033	0.104097
1034	0.122608
1035	0.114285
1036	0.108270
1037	0.103897
1038	0.119416
1039	0.098465
1040	0.112102
1041	0.101107
1042	0.107914
1043	0.107141
1044	0.117032
1045	0.111447
1046	0.107334
1047	0.100368
1048	0.121536
1049	0.106803
1050	0.113325
1051	0.106094
1052	0.101427
1053	0.106126
1054	0.101839
1055	0.111858
1056	0.105368
1057	0.113394
1058	0.113845
1059	0.109220
1060	0.111987
1061	0.126554
1062	0.102015
1063	0.105919
1064	0.116549
1065	0.105081
1066	0.109817
1067	0.106702
1068	0.114072
1069	0.111490
1070	0.109852
1071	0.119453
1072	0.104019
1073	0.126476
1074	0.113067
1075	0.098948
1076	0.112686
1077	0.110242
1078	0.108296
1079	0.102848
1080	0.102300
1081	0.100004
1082	0.103344
1083	0.097298
1084	0.117763
1085	0.101883
1086	0.119599
1087	0.109454
1088	0.106157
1089	0.104950
1090	0.119241
1091	0.106340
1092	0.117667
1093	0.104832
1094	0.100629
1095	0.122142
1096	0.113887
1097	0.113458
1098	0.112444
1099	0.101794
1100	0.103030
1101	0.109476
1102	0.108320
1103	0.110033
1104	0.127350
1105	0.109690
1106	0.109596
1107	0.108374
1108	0.101254
1109	0.112897
1110	0.109294
1111	0.119151
1112	0.106823
1113	0.122672
1114	0.109362
1115	0.109973
1116	0.109354
1117	0.112434
1118	0.105682
1119	0.107568
1120	0.106696
1121	0.105936
1122	0.108251
1123	0.101561
1124	0.115342
1125	0.111654
1126	0.108275
1127	0.118444
1128	0.107974
1129	0.117447
1130	0.106853
1131	0.102173
1132	0.112501
1133	0.112188
1134	0.107704
1135	0.120888
1136	0.107418
1137	0.103656
1138	0.099865
1139	0.111083
1140	0.108552
1141	0.105254
1142	0.114468
1143	0.115559
1144	0.109779
1145	0.116246
1146	0.101987
1147	0.113701
1148	0.105503
1149	0.108574
1150	0.102554
1151	0.096840
1152	0.106711
1153	0.112722
1154	0.113560
1155	0.104599
1156	0.113605
1157	0.101458
1158	0.104231
1159	0.109785
1160	0.111255
1161	0.122216
1162	0.107399
1163	0.110100
1164	0.112616
1165	0.118930
1166	0.109149
1167	0.103281
1168	0.104262
1169	0.110161
1170	0.115417
1171	0.100205
1172	0.105585
1173	0.115684
1174	0.116646
1175	0.113358
1176	0.108014
1177	0.103519
1178	0.106024
1179	0.110140
1180	0.103501
1181	0.112908
1182	0.109633
1183	0.117477
1184	0.106858
1185	0.109715
1186	0.104313
1187	0.119099
1188	0.106498
1189	0.104510
1190	0.107918
1191	0.114779
1192	0.110316
1193	0.116521
1194	0.107391
1195	0.099566
1196	0.112518
1197	0.117220
1198	0.111188
1199	0.114554
1200	0.102917
1201	0.107036
1202	0.107457
1203	0.110462
1204	0.108096
1205	0.118842
1206	0.110027
1207	0.101449
1208	0.111498
1209	0.109066
1210	0.117035
1211	0.115420
1212	0.108292
1213	0.104397
1214	0.112425
1215	0.102642
1216	0.102709
1217	0.108730
1218	0.118808
1219	0.107051
1220	0.110841
1221	0.106570
1222	0.112752
1223	0.110081
1224	0.103499
1225	0.111217
1226	0.110291
1227	0.106834
1228	0.125050
1229	0.106246
1230	0.106617
1231	0.110714
1232	0.101996
1233	0.112777
1234	0.104613
1235	0.108179
1236	0.100344
1237	0.110023
1238	0.107201
1239	0.095408
1240	0.117410
1241	0.117852
1242	0.115308
1243	0.106517
1244	0.109769
1245	0.103193
1246	0.109765
1247	0.111543
1248	0.115169
1249	0.111574
1250	0.097743
1251	0.104153
1252	0.108866
1253	0.106092
1254	0.105747
1255	0.107563
1256	0.120164
1257	0.104800
1258	0.119422
1259	0.112765
1260	0.103161
1261	0.105201
1262	0.109459
1263	0.106496
1264	0.106111
1265	0.116904
1266	0.103622
1267	0.111811
1268	0.107861
1269	0.106855
1270	0.107341
1271	0.104627
1272	0.101804
1273	0.111108
1274	0.118562
1275	0.102111
1276	0.112912
1277	0.104916
1278	0.103197
1279	0.108336
1280	0.108916
1281	0.100584
1282	0.117758
1283	0.109902
1284	0.113869
1285	0.107337
1286	0.117121
1287	0.101393
1288	0.107410
1289	0.109016
1290	0.100425
1291	0.099221
1292	0.114156
1293	0.111779
1294	0.114291
1295	0.110894
1296	0.102102
1297	0.105509
1298	0.108209
1299	0.107587
1300	0.115975
1301	0.116577
1302	0.108670
1303	0.103408
1304	0.117382
1305	0.116556
1306	0.110291
1307	0.105364
1308	0.113693
1309	0.107735
1310	0.113602
1311	0.107793
1312	0.101014
1313	0.102780
1314	0.125005
1315	0.111483
1316	0.112858
1317	0.107401
1318	0.101215
1319	0.113898
1320	0.108560
1321	0.114298
1322	0.107279
1323	0.106617
1324	0.104753
1325	0.112496
1326	0.105053
1327	0.108588
1328	0.107706
1329	0.106779
1330	0.101942
1331	0.116449
1332	0.115148
1333	0.107974
1334	0.110152
1335	0.111625
1336	0.105761
1337	0.103277
1338	0.112703
1339	0.103609
1340	0.106179
1341	0.111132
1342	0.118319
1343	0.105600
1344	0.109672
1345	0.104174
1346	0.112728
1347	0.106165
1348	0.114087
1349	0.109708
1350	0.103566
1351	0.107970
1352	0.116165
1353	0.100343
1354	0.116326
1355	0.108753
1356	0.099163
1357	0.110476
1358	0.112035
1359	0.105114
1360	0.112358
1361	0.095633
1362	0.108057
1363	0.111576
1364	0.106461
1365	0.113360
1366	0.111017
1367	0.098646
1368	0.112047
1369	0.100197
1370	0.114004
1371	0.106939
1372	0.115882
1373	0.103711
1374	0.109536
1375	0.107979
1376	0.115161
1377	0.109045
1378	0.110040
1379	0.110150
1380	0.113567
1381	0.106415
1382	0.106714
1383	0.102438
1384	0.117014
1385	0.101665
1386	0.102545
1387	0.111692
1388	0.107074
1389	0.104226
1390	0.114716
1391	0.111695
1392	0.116802
1393	0.105303
1394	0.105100
1395	0.111577
1396	0.106680
1397	0.102799
1398	0.108196
1399	0.101225
1400	0.109407
1401	0.106182
1402	0.113517
1403	0.108472
1404	0.107055
1405	0.110517
1406	0.111661
1407	0.104449
1408	0.104752
1409	0.107021
1410	0.099298
1411	0.104582
1412	0.112851
1413	0.103396
1414	0.109604
1415	0.107995
1416	0.102024
1417	0.111597
1418	0.107302
1419	0.103167
1420	0.115846
1421	0.108911
1422	0.102498
1423	0.102153
1424	0.101924
1425	0.095797
1426	0.115385
1427	0.108572
1428	0.112432
1429	0.107947
1430	0.104527
1431	0.108726
1432	0.102291
1433	0.122884
1434	0.108391
1435	0.102160
1436	0.104800
1437	0.108234
1438	0.103052
1439	0.110280
1440	0.106387
1441	0.101720
1442	0.116849
1443	0.104259
1444	0.109295
1445	0.110539
1446	0.111703
1447	0.106369
1448	0.104873
1449	0.110019
1450	0.115147
1451	0.116060
1452	0.100942
1453	0.107251
1454	0.110110
1455	0.107060
1456	0.106084
1457	0.110936
1458	0.105968
1459	0.118397
1460	0.103068
1461	0.105703
1462	0.112450
1463	0.108426
1464	0.108290
1465	0.112317
1466	0.107247
1467	0.118695
1468	0.102960
1469	0.102545
1470	0.112144
1471	0.103451
1472	0.109319
1473	0.110570
1474	0.111601
1475	0.111959
1476	0.110042
1477	0.106175
1478	0.100674
1479	0.119591
1480	0.117391
1481	0.097129
1482	0.110209
1483	0.106298
1484	0.107322
1485	0.103871
1486	0.120816
1487	0.111500
1488	0.113707
1489	0.111089
1490	0.106826
1491	0.110391
1492	0.112394
1493	0.109097
1494	0.115825
1495	0.112714
1496	0.106631
1497	0.107010
1498	0.109508
1499	0.108781
1500	0.109708
1501	0.110743
1502	0.104521
1503	0.109898
1504	0.104869
1505	0.107767
1506	0.111020
1507	0.104492
1508	0.112525
1509	0.113551
1510	0.108453
1511	0.113575
1512	0.105220
1513	0.113730
1514	0.101260
1515	0.097885
1516	0.104026
1517	0.107048
1518	0.110136
1519	0.109902
1520	0.103729
1521	0.104715
1522	0.102364
1523	0.119994
1524	0.106984
1525	0.106587
1526	0.108395
1527	0.105405
1528	0.120737
1529	0.115874
1530	0.107413
1531	0.107561
1532	0.119101
1533	0.111481
1534	0.107499
1535	0.110943
1536	0.099700
1537	0.105497
1538	0.110697
1539	0.102952
1540	0.106843
1541	0.110908
1542	0.099821
1543	0.110495
1544	0.113734
1545	0.101287
1546	0.104011
1547	0.109206
1548	0.108822
1549	0.113839
1550	0.099615
1551	0.117734
1552	0.108681
1553	0.112932
1554	0.101338
1555	0.106932
1556	0.110904
1557	0.116047
1558	0.107607
1559	0.113212
1560	0.107638
1561	0.113115
1562	0.103726
1563	0.105403
1564	0.114958
1565	0.114225
1566	0.105804
1567	0.109891
1568	0.107698
1569	0.109107
1570	0.114985
1571	0.121670
1572	0.110064
1573	0.110895
1574	0.102170
1575	0.107999
1576	0.106864
1577	0.112911
1578	0.103330
1579	0.114555
1580	0.116790
1581	0.107573
1582	0.103183
1583	0.111321
1584	0.104143
1585	0.112305
1586	0.112313
1587	0.114050
1588	0.108653
1589	0.114597
1590	0.103237
1591	0.121924
1592	0.109109
1593	0.107479
1594	0.109944
1595	0.104452
1596	0.112062
1597	0.110491
1598	0.111657
1599	0.112041
1600	0.102113
1601	0.095158
1602	0.107784
1603	0.106184
1604	0.111520
1605	0.110447
1606	0.118517
1607	0.097457
1608	0.103765
1609	0.103167
1610	0.112577
1611	0.105866
1612	0.106865
1613	0.106113
1614	0.106684
1615	0.112479
1616	0.111332
1617	0.112123
1618	0.112651
1619	0.108894
1620	0.109707
1621	0.110894
1622	0.102533
1623	0.105675
1624	0.112411
1625	0.097566
1626	0.111218
1627	0.112255
1628	0.109911
1629	0.099956
1630	0.103027
1631	0.101569
1632	0.109522
1633	0.110141
1634	0.111011
1635	0.109067
1636	0.108502
1637	0.115250
1638	0.112713
1639	0.110063
1640	0.106833
1641	0.106524
1642	0.103536
1643	0.103801
1644	0.115046
1645	0.121049
1646	0.106190
1647	0.105461
1648	0.106639
1649	0.109368
1650	0.111686
1651	0.103944
1652	0.106079
1653	0.111602
1654	0.108044
1655	0.108949
1656	0.104234
1657	0.098146
1658	0.113856
1659	0.112695
1660	0.113213
1661	0.109306
1662	0.112630
1663	0.108680
1664	0.112260
1665	0.101832
1666	0.109054
1667	0.112349
1668	0.108546
1669	0.118359
1670	0.108943
1671	0.103459
1672	0.103705
1673	0.107666
1674	0.110637
1675	0.101606
1676	0.109516
1677	0.107841
1678	0.111174
1679	0.115088
1680	0.101935
1681	0.105712
1682	0.109249
1683	0.110225
1684	0.105215
1685	0.104644
1686	0.111498
1687	0.095040
1688	0.116151
1689	0.107226
1690	0.103778
1691	0.107195
1692	0.115218
1693	0.105804
1694	0.107768
1695	0.104616
1696	0.114502
1697	0.104328
1698	0.101934
1699	0.104681
1700	0.109017
1701	0.112179
1702	0.101291
1703	0.103725
1704	0.112195
1705	0.102939
1706	0.111837
1707	0.097892
1708	0.119465
1709	0.106845
1710	0.111312
1711	0.116977
1712	0.111267
1713	0.110237
1714	0.108946
1715	0.108035
1716	0.109019
1717	0.102996
1718	0.111387
1719	0.104019
1720	0.107822
1721	0.104173
1722	0.109732
1723	0.112020
1724	0.105975
1725	0.105825
1726	0.109612
1727	0.107477
1728	0.112125
1729	0.098860
1730	0.111710
1731	0.101906
1732	0.110676
1733	0.107742
1734	0.112791
1735	0.099659
1736	0.102087
1737	0.104650
1738	0.108967
1739	0.104947
1740	0.114578
1741	0.108821
1742	0.109357
1743	0.104619
1744	0.095650
1745	0.102481
1746	0.102739
1747	0.109017
1748	0.103541
1749	0.114014
1750	0.104758
1751	0.104114
1752	0.107099
1753	0.100080
1754	0.112785
1755	0.104926
1756	0.107717
1757	0.117342
1758	0.103376
1759	0.113502
1760	0.110321
1761	0.104922
1762	0.116091
1763	0.116667
1764	0.107682
1765	0.103934
1766	0.105931
1767	0.101961
1768	0.108476
1769	0.100146
1770	0.112175
1771	0.110376
1772	0.102555
1773	0.114075
1774	0.101459
1775	0.108939
1776	0.102771
1777	0.106351
1778	0.108277
1779	0.099009
1780	0.107294
1781	0.109738
1782	0.098134
1783	0.093905
1784	0.109352
1785	0.105480
1786	0.112403
1787	0.110711
1788	0.116148
1789	0.102480
1790	0.112384
1791	0.106537
1792	0.113194
1793	0.103359
1794	0.108303
1795	0.106554
1796	0.108353
1797	0.107964
1798	0.112165
1799	0.104339
1800	0.113827
1801	0.106576
1802	0.106449
1803	0.100970
1804	0.114136
1805	0.110672
1806	0.108457
1807	0.100632
1808	0.109057
1809	0.110347
1810	0.113237
1811	0.107328
1812	0.112804
1813	0.108398
1814	0.110884
1815	0.106113
1816	0.105706
1817	0.108239
1818	0.095841
1819	0.107957
1820	0.099546
1821	0.107858
1822	0.101426
1823	0.104247
1824	0.111693
1825	0.109519
1826	0.105233
1827	0.105416
1828	0.101476
1829	0.114946
1830	0.116894
1831	0.109002
1832	0.105987
1833	0.104235
1834	0.104276
1835	0.108065
1836	0.101705
1837	0.112097
1838	0.103467
1839	0.108025
1840	0.113661
1841	0.102443
1842	0.104671
1843	0.102976
1844	0.099924
1845	0.107506
1846	0.107556
1847	0.103393
1848	0.106117
1849	0.097331
1850	0.104362
1851	0.124837
1852	0.109883
1853	0.108195
1854	0.112972
1855	0.109656
1856	0.110171
1857	0.104955
1858	0.107066
1859	0.099064
1860	0.104637
1861	0.116567
1862	0.098867
1863	0.107711
1864	0.106736
1865	0.107266
1866	0.111266
1867	0.106450
1868	0.108818
