########

## 	Model: LSTM with N=1024

########

0	0.297125
1	0.257095
2	0.251787
3	0.246629
4	0.242602
5	0.246446
6	0.248002
7	0.241581
8	0.237636
9	0.239607
10	0.238542
11	0.238782
12	0.237200
13	0.236364
14	0.235430
15	0.235433
16	0.236019
17	0.234146
18	0.229947
19	0.235031
20	0.231644
21	0.231867
22	0.230106
23	0.229095
24	0.231062
25	0.234301
26	0.236359
27	0.243664
28	0.277589
29	0.410277
30	0.926646
31	2.009733
32	3.077398
33	1.357789
34	0.415856
35	0.264976
36	0.289069
37	0.352748
38	0.519376
39	0.946711
40	1.495654
41	1.466132
42	0.588126
43	0.359089
44	0.352724
45	0.512537
46	0.877063
47	1.207906
48	0.823539
49	0.422773
50	0.281804
51	0.327669
52	0.592230
53	1.216343
54	1.476099
55	0.519320
56	0.246991
57	0.237466
58	0.288345
59	0.557816
60	1.622395
61	1.591866
62	0.427756
63	0.247191
64	0.251546
65	0.270316
66	0.324092
67	0.439206
68	0.582324
69	0.671580
70	0.490082
71	0.367542
72	0.474104
73	1.010841
74	1.398077
75	0.448998
76	0.307492
77	0.339599
78	0.405734
79	0.451200
80	0.391489
81	0.301304
82	0.253772
83	0.236859
84	0.233692
85	0.236855
86	0.267811
87	0.379806
88	0.528348
89	0.515845
90	0.320118
91	0.237249
92	0.225772
93	0.228457
94	0.240680
95	0.282289
96	0.404362
97	0.556804
98	0.606981
99	0.445315
100	0.550522
101	0.338192
102	1.916322
103	0.447097
104	2.234428
105	0.555541
106	3.260128
107	0.767611
108	1.181604
109	0.996809
110	2.127704
111	0.730917
112	0.456067
113	0.327328
114	0.218957
115	0.213968
116	0.210948
117	0.209906
118	0.212883
119	0.206578
120	0.208376
121	0.211603
122	0.209136
123	0.208780
124	0.210805
125	0.220646
126	0.272654
127	0.481294
128	0.621625
129	0.406599
130	0.240983
131	0.222961
132	0.244254
133	0.238868
134	0.231384
135	0.225373
136	0.216655
137	0.216993
138	0.222818
139	0.223102
140	0.222333
141	0.224682
142	0.236057
143	0.241501
144	0.236618
145	0.231877
146	0.228384
147	0.230503
148	0.255336
149	0.343651
150	0.373205
151	0.265897
152	1.568157
153	0.490673
154	0.744514
155	0.675742
156	0.507043
157	0.654790
158	0.494499
159	0.583931
160	0.400132
161	0.245191
162	0.215062
163	0.199170
164	0.194742
165	0.195427
166	0.193024
167	0.196206
168	0.197436
169	0.205622
170	0.211171
171	0.238644
172	0.268006
173	0.249620
174	0.214307
175	0.203089
176	0.197709
177	0.198339
178	0.199474
179	0.204700
180	0.212045
181	0.218823
182	0.227554
183	0.231454
184	0.224435
185	0.217847
186	0.212498
187	0.213182
188	0.218433
189	0.243208
190	0.217299
191	0.206182
192	0.202654
193	0.210447
194	0.215517
195	0.249335
196	0.223278
197	0.925145
198	0.325563
199	0.674695
200	0.549034
201	0.695185
202	0.494114
203	0.311020
204	0.254957
205	0.191630
206	0.185962
207	0.182628
208	0.183970
209	0.185388
210	0.191313
211	0.184524
212	0.189918
213	0.182455
214	0.190614
215	0.190789
216	0.192108
217	0.195916
218	0.200507
219	0.206456
220	0.200087
221	0.201853
222	0.192801
223	0.190728
224	0.188866
225	0.199255
226	0.204002
227	0.205012
228	0.210019
229	0.226274
230	0.199053
231	0.206294
232	0.204598
233	0.223623
234	0.221438
235	0.285680
236	0.278320
237	0.544451
238	0.431757
239	0.295007
240	0.249494
241	0.189096
242	0.187921
243	0.184707
244	0.185165
245	0.179538
246	0.183388
247	0.183647
248	0.185938
249	0.183897
250	0.186627
251	0.184950
252	0.186800
253	0.192506
254	0.189356
255	0.192632
256	0.191713
257	0.188653
258	0.191969
259	0.198436
260	0.203683
261	0.205586
262	0.203327
263	0.211918
264	0.197681
265	0.197965
266	0.197016
267	0.186176
268	0.191659
269	0.206313
270	0.201423
271	0.197620
272	0.219589
273	0.246693
274	0.389992
275	0.345364
276	0.293521
277	0.277574
278	0.201114
279	0.203592
280	0.191145
281	0.176788
282	0.174912
283	0.177244
284	0.170310
285	0.177249
286	0.180823
287	0.180445
288	0.184008
289	0.178441
290	0.177336
291	0.185497
292	0.183512
293	0.202369
294	0.200925
295	0.185219
296	0.178471
297	0.179295
298	0.177319
299	0.178388
300	0.182169
301	0.178034
302	0.186310
303	0.186976
304	0.187200
305	0.203790
306	0.194910
307	0.183892
308	0.185295
309	0.182099
310	0.185625
311	0.183159
312	0.234644
313	0.242645
314	0.251050
315	0.254017
316	0.212273
317	0.198613
318	0.172988
319	0.172681
320	0.168170
321	0.167077
322	0.165085
323	0.186480
324	0.204828
325	0.215741
326	0.187283
327	0.182767
328	0.178045
329	0.180200
330	0.179127
331	0.172172
332	0.168271
333	0.165796
334	0.169824
335	0.164420
336	0.165488
337	0.170000
338	0.244151
339	0.223096
340	0.189817
341	0.177898
342	0.186734
343	0.180917
344	0.173736
345	0.172385
346	0.177134
347	0.182701
348	0.193901
349	0.198649
350	0.231128
351	0.210048
352	0.209616
353	0.170722
354	0.152381
355	0.156829
356	0.166358
357	0.178873
358	0.159341
359	0.153858
360	0.149989
361	0.152025
362	0.151466
363	0.170116
364	0.169070
365	0.152500
366	0.148250
367	0.155875
368	0.173268
369	0.182485
370	0.155876
371	0.152374
372	0.146299
373	0.149418
374	0.170823
375	0.179687
376	0.153435
377	0.142292
378	0.143587
379	0.148696
380	0.158428
381	0.186631
382	0.169704
383	0.154256
384	0.145089
385	0.139200
386	0.150044
387	0.157605
388	0.163690
389	0.152365
390	0.135452
391	0.158970
392	0.151409
393	0.169011
394	0.153925
395	0.169879
396	0.122140
397	0.130387
398	0.125111
399	0.125808
400	0.125728
401	0.115684
402	0.131704
403	0.154991
404	0.161904
405	0.135186
406	0.131406
407	0.131467
408	0.137027
409	0.137210
410	0.131877
411	0.125480
412	0.125068
413	0.110409
414	0.128169
415	0.115650
416	0.131574
417	0.120658
418	0.123132
419	0.124108
420	0.123275
421	0.139255
422	0.122059
423	0.119540
424	0.130403
425	0.124110
426	0.141366
427	0.122685
428	0.115511
429	0.126703
430	0.145163
431	0.108107
432	0.114081
433	0.130030
434	0.115604
435	0.148319
436	0.121459
437	0.112886
438	0.119000
439	0.118094
440	0.142382
441	0.127065
442	0.124537
443	0.120168
444	0.111703
445	0.103901
446	0.112594
447	0.122882
448	0.157391
449	0.140279
450	0.129152
451	0.122477
452	0.109670
453	0.120423
454	0.128243
455	0.109183
456	0.121655
457	0.111976
458	0.118706
459	0.111942
460	0.127076
461	0.106333
462	0.118472
463	0.112914
464	0.122693
465	0.116547
466	0.157739
467	0.128710
468	0.124159
469	0.137097
470	0.126190
471	0.120413
472	0.108257
473	0.109124
474	0.118656
475	0.118229
476	0.115689
477	0.135575
478	0.113714
479	0.112303
480	0.107881
481	0.112272
482	0.110762
483	0.140961
484	0.114342
485	0.112896
486	0.120040
487	0.128626
488	0.116277
489	0.126524
490	0.147244
491	0.125024
492	0.112359
493	0.112690
494	0.117761
495	0.110405
496	0.112511
497	0.115257
498	0.112984
499	0.120589
500	0.152171
501	0.133776
502	0.129099
503	0.117358
504	0.113651
505	0.110642
506	0.125218
507	0.108934
508	0.118391
509	0.110661
510	0.111602
511	0.112707
512	0.114863
513	0.110310
514	0.123258
515	0.111874
516	0.116555
517	0.107268
518	0.128331
519	0.108844
520	0.106372
521	0.118357
522	0.122178
523	0.139642
524	0.114985
525	0.115332
526	0.118096
527	0.117934
528	0.118442
529	0.119714
530	0.112662
531	0.125565
532	0.114938
533	0.116409
534	0.113990
535	0.117574
536	0.142655
537	0.125393
538	0.100991
539	0.115635
540	0.105032
541	0.125662
542	0.108526
543	0.102732
544	0.114273
545	0.104200
546	0.118301
547	0.114639
548	0.112394
549	0.119907
550	0.117740
551	0.113128
552	0.108740
553	0.110726
554	0.135930
555	0.120816
556	0.110637
557	0.116680
558	0.115232
559	0.116676
560	0.128037
561	0.099242
562	0.120366
563	0.112290
564	0.138055
565	0.107955
566	0.107848
567	0.111754
568	0.110997
569	0.108603
570	0.106790
571	0.120026
572	0.115219
573	0.113600
574	0.113595
575	0.123670
576	0.108149
577	0.104836
578	0.127161
579	0.124438
580	0.107735
581	0.114433
582	0.109319
583	0.109768
584	0.122143
585	0.113809
586	0.121533
587	0.106769
588	0.101969
589	0.108459
590	0.124847
591	0.105903
592	0.108281
593	0.112759
594	0.118364
595	0.113601
596	0.137515
597	0.121519
598	0.117143
599	0.107812
600	0.099883
601	0.107116
602	0.108097
603	0.125831
604	0.106272
605	0.101079
606	0.112962
607	0.112242
608	0.116310
609	0.111456
610	0.110939
611	0.131912
612	0.105020
613	0.112547
614	0.110639
615	0.119726
616	0.148050
617	0.118983
618	0.112331
619	0.111171
620	0.112473
621	0.107326
622	0.108806
623	0.115332
624	0.112589
625	0.112942
626	0.112893
627	0.111503
628	0.107745
629	0.114751
630	0.111977
631	0.114301
632	0.108009
633	0.115405
634	0.113343
635	0.110274
636	0.102567
637	0.118203
638	0.111074
639	0.129673
640	0.112605
641	0.105412
642	0.108188
643	0.111453
644	0.111951
645	0.115953
646	0.110869
647	0.118106
648	0.122388
649	0.111480
650	0.117745
651	0.112231
652	0.122179
653	0.115364
654	0.116222
655	0.109807
656	0.114942
657	0.115633
658	0.120022
659	0.109340
660	0.129036
661	0.106384
662	0.110364
663	0.103835
664	0.122781
665	0.102001
666	0.107909
667	0.112602
668	0.114250
669	0.121509
670	0.109399
671	0.108838
672	0.102581
673	0.099094
674	0.110861
675	0.129771
676	0.107471
677	0.104325
678	0.105002
679	0.109511
680	0.113378
681	0.106694
682	0.129855
683	0.107398
684	0.114372
685	0.105955
686	0.109943
687	0.102458
688	0.113830
689	0.124843
690	0.114593
691	0.114186
692	0.120733
693	0.120384
694	0.111752
695	0.116032
696	0.123220
697	0.100522
698	0.104883
699	0.105876
700	0.105993
701	0.112460
702	0.124273
703	0.109094
704	0.095807
705	0.111668
706	0.111396
707	0.114669
708	0.107205
709	0.132905
710	0.109484
711	0.107727
712	0.101583
713	0.115599
714	0.107624
715	0.108139
716	0.115558
717	0.113757
718	0.122687
719	0.116857
720	0.109846
721	0.115498
722	0.124131
723	0.108349
724	0.105099
725	0.104328
726	0.108839
727	0.111387
728	0.114337
729	0.113203
730	0.113666
731	0.113835
732	0.119135
733	0.104554
734	0.111158
735	0.109918
736	0.108899
737	0.109315
738	0.110518
739	0.132973
740	0.108189
741	0.112481
742	0.101991
743	0.111266
744	0.114968
745	0.106499
746	0.129312
747	0.108453
748	0.110133
749	0.103482
750	0.119760
751	0.115667
752	0.119122
753	0.104415
754	0.111474
755	0.107965
756	0.109405
757	0.110403
758	0.117165
759	0.110168
760	0.128831
761	0.110968
762	0.097639
763	0.121822
764	0.113144
765	0.102732
766	0.104653
767	0.100645
768	0.105114
769	0.102908
770	0.102709
771	0.110465
772	0.115071
773	0.109984
774	0.120554
775	0.109564
776	0.109726
777	0.107486
778	0.119951
779	0.116000
780	0.106745
781	0.119685
782	0.119862
783	0.109703
784	0.117396
785	0.103285
786	0.113442
787	0.104373
788	0.096240
789	0.111037
790	0.115358
791	0.104535
792	0.112203
793	0.106923
794	0.119863
795	0.105364
796	0.111160
797	0.108692
798	0.115527
799	0.105678
800	0.105335
801	0.114476
802	0.104438
803	0.103160
804	0.106787
805	0.109681
806	0.106858
807	0.116729
808	0.111322
809	0.110981
810	0.105863
811	0.125372
812	0.113463
813	0.105004
814	0.103940
815	0.124410
816	0.112980
817	0.116177
818	0.119527
819	0.120302
820	0.111548
821	0.115779
822	0.107024
823	0.102553
824	0.110265
825	0.108202
826	0.108027
827	0.118608
828	0.134486
829	0.117605
830	0.110959
831	0.099451
832	0.109748
833	0.109693
834	0.108143
835	0.115653
836	0.102936
837	0.126254
838	0.108750
839	0.106844
840	0.105136
841	0.110140
842	0.108486
843	0.107885
844	0.117283
845	0.130277
846	0.114527
847	0.109011
848	0.111953
849	0.105506
850	0.117098
851	0.113352
852	0.112836
853	0.107769
854	0.117114
855	0.112515
856	0.103667
857	0.108731
858	0.110152
859	0.113441
860	0.112510
861	0.104350
862	0.124990
863	0.115190
864	0.102117
865	0.113085
866	0.103429
867	0.118156
868	0.101320
869	0.116801
870	0.104832
871	0.105382
872	0.115004
873	0.111565
874	0.109806
875	0.121332
876	0.106522
877	0.105541
878	0.103573
879	0.108073
880	0.107710
881	0.108892
882	0.117641
883	0.104826
884	0.105196
885	0.108912
886	0.113932
887	0.107062
888	0.115769
889	0.111290
890	0.101673
891	0.107126
892	0.122828
893	0.113298
894	0.109875
895	0.112583
896	0.111428
897	0.102922
898	0.108505
899	0.114643
900	0.105163
901	0.100599
902	0.124606
903	0.103516
904	0.105875
905	0.103255
906	0.107311
907	0.113500
908	0.118929
909	0.107559
910	0.108797
911	0.118557
912	0.103218
913	0.111480
914	0.100308
915	0.104997
916	0.113233
917	0.112895
918	0.105432
919	0.114478
920	0.097475
921	0.101865
922	0.109515
923	0.103367
924	0.106619
925	0.104717
926	0.108656
927	0.112814
928	0.119107
929	0.117537
930	0.110909
931	0.110263
932	0.108156
933	0.116151
934	0.115832
935	0.110182
936	0.113827
937	0.124090
938	0.106999
939	0.101436
940	0.109103
941	0.108537
942	0.111483
943	0.107925
944	0.118476
945	0.109742
946	0.107588
947	0.105583
948	0.100313
949	0.109351
950	0.106088
951	0.106438
952	0.121828
953	0.104745
954	0.116363
955	0.113855
956	0.117238
957	0.111615
958	0.110887
959	0.106500
960	0.115066
961	0.104466
962	0.109211
963	0.111297
964	0.117471
965	0.110868
966	0.114982
967	0.112511
968	0.111501
969	0.104543
970	0.118020
971	0.102561
972	0.099532
973	0.112814
974	0.107580
975	0.107397
976	0.110073
977	0.122557
978	0.103798
979	0.103074
980	0.109907
981	0.106017
982	0.108644
983	0.109946
984	0.112426
985	0.113205
986	0.120629
987	0.102656
988	0.120073
989	0.103117
990	0.116755
991	0.114937
992	0.107272
993	0.109280
994	0.098268
995	0.119991
996	0.119366
997	0.108665
998	0.112553
999	0.108463
1000	0.110821
1001	0.117823
1002	0.116397
1003	0.101409
1004	0.126934
1005	0.111589
1006	0.108003
1007	0.113845
1008	0.101471
1009	0.117381
1010	0.107890
1011	0.103710
1012	0.107665
1013	0.114840
1014	0.112227
1015	0.108018
1016	0.115890
1017	0.109720
1018	0.114004
1019	0.115316
1020	0.116208
1021	0.120459
1022	0.115127
1023	0.103637
1024	0.111296
1025	0.102613
1026	0.103467
1027	0.108598
1028	0.106086
1029	0.107009
1030	0.116633
1031	0.111972
1032	0.116311
1033	0.109370
1034	0.112061
1035	0.108285
1036	0.110560
1037	0.112799
1038	0.126803
1039	0.103469
1040	0.103308
1041	0.098422
1042	0.116170
1043	0.111682
1044	0.107890
1045	0.116448
1046	0.105989
1047	0.107776
1048	0.112698
1049	0.112769
1050	0.111667
1051	0.117174
1052	0.109162
1053	0.128597
1054	0.107601
1055	0.106704
1056	0.107176
1057	0.109351
1058	0.102394
1059	0.121331
1060	0.109604
1061	0.109897
1062	0.111913
1063	0.115127
1064	0.105541
1065	0.105326
1066	0.109651
1067	0.104330
1068	0.103705
1069	0.111233
1070	0.112935
1071	0.108195
1072	0.107551
1073	0.111978
1074	0.101112
1075	0.119594
1076	0.111362
1077	0.117139
1078	0.110318
1079	0.105368
1080	0.116561
1081	0.102500
1082	0.108621
1083	0.116983
1084	0.103090
1085	0.106828
1086	0.113323
1087	0.102753
1088	0.105258
1089	0.111679
1090	0.107991
1091	0.107483
1092	0.111375
1093	0.110517
1094	0.114290
1095	0.103367
1096	0.110891
1097	0.108432
1098	0.114890
1099	0.107601
1100	0.103103
1101	0.112437
1102	0.106537
1103	0.110160
1104	0.103184
1105	0.101550
1106	0.116224
1107	0.117993
1108	0.107824
1109	0.119600
1110	0.103044
1111	0.118612
1112	0.105961
1113	0.109848
1114	0.107041
1115	0.107205
1116	0.108144
1117	0.111196
1118	0.104224
1119	0.103970
1120	0.101895
1121	0.106389
1122	0.103907
1123	0.113248
1124	0.108983
1125	0.103927
1126	0.104750
1127	0.107449
1128	0.103204
1129	0.123404
1130	0.118948
1131	0.113719
1132	0.108429
1133	0.109508
1134	0.106268
1135	0.111709
1136	0.111545
1137	0.114261
1138	0.111175
1139	0.122282
1140	0.100312
1141	0.111519
1142	0.112415
1143	0.105789
1144	0.094388
1145	0.101195
1146	0.114403
1147	0.102232
1148	0.109350
1149	0.113221
1150	0.103006
1151	0.108629
1152	0.111128
1153	0.112870
1154	0.122184
1155	0.101727
1156	0.102848
1157	0.112559
1158	0.107498
1159	0.108542
1160	0.106414
1161	0.107952
1162	0.110835
1163	0.112271
1164	0.104291
1165	0.117902
1166	0.105210
1167	0.107893
1168	0.114308
1169	0.106808
1170	0.109604
1171	0.112461
1172	0.112100
1173	0.104485
1174	0.104990
1175	0.126476
1176	0.100057
1177	0.099784
1178	0.109857
1179	0.102946
1180	0.110640
1181	0.112924
1182	0.109065
1183	0.108356
1184	0.104673
1185	0.106158
1186	0.119540
1187	0.104307
1188	0.100007
1189	0.105785
1190	0.110287
1191	0.112113
1192	0.129254
1193	0.104118
1194	0.106235
1195	0.104001
1196	0.110982
1197	0.114955
1198	0.114411
1199	0.109081
1200	0.103017
1201	0.110769
1202	0.102236
1203	0.115338
1204	0.102446
1205	0.109575
1206	0.115502
1207	0.110453
1208	0.104814
1209	0.115076
1210	0.104546
1211	0.113831
1212	0.098293
1213	0.103735
1214	0.110780
1215	0.106665
1216	0.103039
1217	0.120675
1218	0.102657
1219	0.104620
1220	0.100805
1221	0.113085
1222	0.106981
1223	0.107889
1224	0.103467
1225	0.110752
1226	0.101145
1227	0.108140
1228	0.106142
1229	0.113588
1230	0.113364
1231	0.111527
1232	0.111214
1233	0.110354
1234	0.111564
1235	0.094243
1236	0.106244
1237	0.103027
1238	0.109675
1239	0.104987
1240	0.105081
1241	0.107422
1242	0.120109
1243	0.115491
1244	0.109668
1245	0.105124
1246	0.106640
1247	0.113657
1248	0.116793
1249	0.113628
1250	0.105903
1251	0.118473
1252	0.106928
1253	0.110996
1254	0.114807
1255	0.100840
