########

## 	Model: LSTM with N=1024

########

0	0.352170
1	0.290133
2	0.262740
3	0.248754
4	0.243892
5	0.239626
6	0.233667
7	0.236491
8	0.231702
9	0.232143
10	0.228802
11	0.226973
12	0.229894
13	0.229228
14	0.230443
15	0.229838
16	0.224012
17	0.229164
18	0.229286
19	0.226861
20	0.224780
21	0.228417
22	0.225102
23	0.226263
24	0.224429
25	0.224388
26	0.222642
27	0.221874
28	0.222030
29	0.222061
30	0.222301
31	0.219798
32	0.222415
33	0.223432
34	0.224629
35	0.222920
36	0.224935
37	0.224662
38	0.227782
39	0.235206
40	0.271325
41	0.415501
42	0.791691
43	1.428667
44	0.940716
45	0.398906
46	0.353227
47	0.414085
48	0.506405
49	0.480762
50	0.443898
51	0.346951
52	0.285516
53	0.273337
54	0.307191
55	0.419689
56	0.668821
57	0.835123
58	0.591042
59	0.352494
60	0.398504
61	0.509169
62	0.573620
63	0.395535
64	0.310997
65	0.304026
66	0.426683
67	0.631667
68	0.603653
69	0.332276
70	0.271664
71	0.285811
72	0.318410
73	0.360627
74	0.359938
75	0.351802
76	0.290357
77	0.253102
78	0.238924
79	0.233745
80	0.243526
81	0.278306
82	0.398239
83	0.591600
84	0.598535
85	0.395960
86	0.375207
87	0.375989
88	0.296083
89	0.254261
90	0.234748
91	0.238840
92	0.257674
93	0.330361
94	0.476017
95	0.430260
96	0.295712
97	0.255945
98	0.279789
99	0.291083
100	0.305696
101	0.272031
102	0.248716
103	0.240810
104	0.257249
105	0.334494
106	0.448101
107	0.396580
108	0.258580
109	0.263450
110	0.305776
111	0.300834
112	0.362885
113	0.313668
114	1.524673
115	0.727241
116	0.763060
117	0.325593
118	0.294770
119	0.244730
120	0.240735
121	0.243224
122	0.249496
123	0.244311
124	0.242085
125	0.241806
126	0.234181
127	0.226517
128	0.228715
129	0.228459
130	0.229784
131	0.239181
132	0.250555
133	0.270259
134	0.262639
135	0.254201
136	0.242571
137	0.247217
138	0.270046
139	0.299331
140	0.284019
141	0.551990
142	0.422843
143	1.583861
144	0.465408
145	0.429939
146	0.331696
147	0.284114
148	0.272521
149	0.231891
150	0.219400
151	0.215417
152	0.220085
153	0.216898
154	0.214811
155	0.218782
156	0.222235
157	0.227029
158	0.239970
159	0.254740
160	0.263448
161	0.245181
162	0.232179
163	0.223655
164	0.216385
165	0.218909
166	0.223173
167	0.225694
168	0.235270
169	0.254501
170	0.252786
171	0.247586
172	0.235742
173	0.245338
174	0.281744
175	0.330352
176	0.818431
177	0.467525
178	0.252345
179	0.295142
180	0.224184
181	0.233741
182	0.242335
183	0.248818
184	0.229144
185	0.226873
186	0.225828
187	0.222923
188	0.223760
189	0.221791
190	0.225212
191	0.231763
192	0.229146
193	0.229136
194	0.224913
195	0.223354
196	0.223092
197	0.220987
198	0.225296
199	0.224777
200	0.232096
201	0.230299
202	0.229942
203	0.255261
204	0.314919
205	0.534588
206	0.377200
207	0.345332
208	0.289649
209	0.221611
210	0.216150
211	0.219454
212	0.218959
213	0.217374
214	0.213762
215	0.217524
216	0.217483
217	0.219234
218	0.224954
