########

## 	Model: EURNN with N=512 L=2

########

453	0.339308
454	0.288312
455	0.262596
456	0.289032
457	0.365046
458	0.375241
459	0.335180
460	0.322620
461	0.320386
462	0.328454
463	0.354361
464	0.380757
465	0.408481
466	0.462622
467	0.587594
468	0.604097
469	0.443234
470	0.548833
471	0.438252
472	0.479979
473	0.396105
474	0.330411
475	0.349469
476	0.272810
477	0.271340
478	0.286772
479	0.253985
480	0.281732
481	0.312267
482	0.476477
483	0.627255
484	0.575102
485	0.456134
486	0.368464
487	0.319187
488	0.281648
489	0.263406
490	0.253636
491	0.251256
492	0.251417
493	0.259538
494	0.273660
495	0.303441
496	0.345403
497	0.389295
498	0.415789
499	0.398070
500	0.365074
501	0.403754
502	0.385062
503	0.313900
504	0.298800
505	0.330735
506	0.351303
507	0.444558
508	0.501429
509	0.397523
510	0.316542
511	0.342298
512	0.321285
513	0.286323
514	0.272610
515	0.271453
516	0.292781
517	0.370842
518	0.440890
519	0.395462
520	0.329982
521	0.290923
522	0.295290
523	0.322373
524	0.344219
525	0.342177
526	0.334467
527	0.322326
528	0.360124
529	0.438803
530	0.380355
531	0.389282
532	0.516974
533	0.508496
534	0.364030
535	0.316413
536	0.283664
537	0.263342
538	0.252220
539	0.244198
540	0.246580
541	0.249794
542	0.263908
543	0.307999
544	0.391967
545	0.416616
546	0.414927
547	0.385814
548	0.371415
549	0.350996
550	0.324073
551	0.313227
552	0.291187
553	0.280354
554	0.270097
555	0.267304
556	0.274287
557	0.278592
558	0.293850
559	0.331780
560	0.381360
561	0.397334
562	0.378242
563	0.348888
564	0.315956
565	0.293786
566	0.285913
567	0.331733
568	0.394509
569	0.336841
570	0.326468
571	0.331230
572	0.297040
573	0.283084
574	0.267329
575	0.258742
576	0.257935
577	0.259445
578	0.259416
579	0.271910
580	0.284159
581	0.311591
582	0.364319
583	0.377218
584	0.382889
585	0.428043
586	0.371689
587	0.302152
588	0.273426
589	0.277459
590	0.318746
591	0.328346
592	0.315461
593	0.264137
594	0.267021
595	0.290492
596	0.309656
597	0.318303
598	0.294957
599	0.269403
600	0.261082
601	0.253014
602	0.253425
603	0.261803
604	0.300750
605	0.350807
606	0.369505
607	0.326058
608	0.296058
609	0.268424
610	0.253494
611	0.251082
612	0.260018
613	0.274685
614	0.299478
615	0.312404
616	0.308598
617	0.297059
618	0.264672
619	0.249025
620	0.248221
621	0.249855
622	0.273647
623	0.309330
624	0.334818
625	0.334532
626	0.302519
627	0.279992
628	0.265821
629	0.253565
630	0.251426
631	0.249059
632	0.242548
633	0.244220
634	0.245981
635	0.250874
636	0.257427
637	0.265585
638	0.269824
639	0.287764
640	0.305563
641	0.317992
642	0.318261
643	0.345407
644	0.296392
645	0.285739
646	0.256640
647	0.249100
648	0.247923
649	0.242016
650	0.247158
651	0.246601
652	0.252786
653	0.257612
654	0.266055
655	0.264051
656	0.285707
657	0.301699
658	0.270880
659	0.253151
660	0.243865
661	0.238509
662	0.240234
663	0.245356
664	0.246739
665	0.247878
666	0.245364
667	0.247813
668	0.247569
669	0.247159
670	0.255127
671	0.266645
672	0.253833
673	0.249916
674	0.250929
675	0.248940
676	0.246957
677	0.252214
678	0.257861
679	0.262087
680	0.255574
681	0.251209
682	0.247145
683	0.248188
684	0.248436
685	0.241472
686	0.235904
687	0.237501
688	0.238315
689	0.247611
690	0.255600
691	0.257800
692	0.256927
693	0.248194
694	0.245391
695	0.246396
696	0.242130
697	0.285796
698	0.302266
699	0.267191
700	0.251157
701	0.236667
702	0.231679
703	0.229637
704	0.229103
705	0.227272
706	0.229686
707	0.229838
708	0.230386
709	0.233263
710	0.238385
711	0.251104
712	0.260022
713	0.251820
714	0.245465
715	0.249069
716	0.237632
717	0.237539
718	0.242680
719	0.256293
720	0.271801
721	0.259960
722	0.243313
723	0.237528
724	0.233514
725	0.231861
726	0.232024
727	0.232775
728	0.236124
729	0.236898
730	0.238127
731	0.239399
732	0.236685
733	0.232314
734	0.235118
735	0.239851
736	0.252058
737	0.264887
738	0.266949
739	0.254633
740	0.273871
741	0.255390
742	0.250703
743	0.252360
744	0.236430
745	0.232701
746	0.234880
747	0.240324
748	0.247513
749	0.258055
750	0.240395
751	0.232218
752	0.230429
753	0.230233
754	0.231608
755	0.234416
756	0.237673
757	0.246090
758	0.243153
759	0.239182
760	0.241369
761	0.247679
762	0.249656
763	0.242062
764	0.236454
765	0.232318
766	0.232212
767	0.234649
768	0.234473
769	0.235703
770	0.239180
771	0.238640
772	0.236942
773	0.233674
774	0.233478
775	0.233469
776	0.231163
777	0.232831
778	0.231361
779	0.232166
780	0.234022
781	0.233822
782	0.238364
783	0.247038
784	0.256256
785	0.256510
786	0.251574
787	0.240504
788	0.233346
789	0.232269
790	0.229464
791	0.233307
792	0.232377
793	0.232828
794	0.235210
795	0.236832
796	0.235907
797	0.237061
798	0.239470
799	0.240621
800	0.241899
801	0.240041
802	0.238275
803	0.236181
804	0.234596
805	0.233357
806	0.233881
807	0.233650
808	0.232792
809	0.232716
810	0.231059
811	0.231547
812	0.235539
813	0.237375
814	0.240639
815	0.239463
816	0.237091
817	0.236900
818	0.235342
819	0.235124
820	0.239426
821	0.243535
822	0.248164
823	0.247005
824	0.238205
825	0.241259
826	0.238271
827	0.233446
828	0.230998
829	0.231515
830	0.229111
831	0.229779
832	0.231863
833	0.231274
834	0.235398
835	0.239042
836	0.242454
837	0.236648
838	0.234190
839	0.232166
840	0.230558
841	0.231574
842	0.232927
843	0.238328
844	0.245912
845	0.246123
846	0.243138
847	0.236545
848	0.233780
849	0.231250
850	0.229913
851	0.229286
852	0.230315
853	0.229673
854	0.228887
855	0.229021
856	0.230452
857	0.235579
858	0.245442
859	0.253141
860	0.240084
861	0.234050
862	0.232038
863	0.234088
864	0.236132
865	0.240741
866	0.257251
867	0.244224
868	0.241771
869	0.234570
870	0.232058
871	0.231387
872	0.230709
873	0.230188
874	0.228861
875	0.229735
876	0.231297
877	0.230217
878	0.231524
879	0.234596
880	0.236873
881	0.236655
882	0.235212
883	0.231318
884	0.232171
885	0.229888
886	0.230259
887	0.230809
888	0.238016
889	0.250652
890	0.247402
891	0.244549
892	0.239704
893	0.235825
894	0.234753
895	0.233318
896	0.232768
897	0.232388
898	0.230716
899	0.232824
900	0.234949
901	0.234513
902	0.235986
903	0.234644
904	0.233301
905	0.236384
906	0.236991
907	0.241143
908	0.239129
909	0.238025
910	0.232441
911	0.231402
912	0.232794
913	0.229748
914	0.229989
915	0.230797
916	0.234329
917	0.233512
918	0.234765
919	0.233809
920	0.233321
921	0.231148
922	0.228809
923	0.229539
924	0.231810
925	0.232625
926	0.231545
927	0.238793
928	0.246670
929	0.248766
930	0.244841
931	0.238165
932	0.247965
933	0.236182
934	0.234285
935	0.233192
936	0.230478
937	0.227647
938	0.229107
939	0.229649
940	0.230013
941	0.230770
942	0.232397
943	0.230937
944	0.231797
945	0.230737
946	0.231411
947	0.230241
948	0.229882
949	0.242476
950	0.244906
951	0.235412
952	0.235394
953	0.238069
954	0.241149
955	0.236832
956	0.232412
957	0.230687
958	0.230048
959	0.228732
960	0.227349
961	0.229163
962	0.229928
963	0.232194
964	0.232578
965	0.233671
966	0.233638
967	0.232381
968	0.229385
969	0.231454
970	0.229982
971	0.230802
972	0.229554
973	0.230042
974	0.236325
975	0.239860
976	0.248680
977	0.275093
978	0.246679
979	0.234548
980	0.231731
981	0.228515
982	0.230759
983	0.229733
984	0.231010
985	0.230998
986	0.231726
987	0.230870
988	0.231216
989	0.231898
990	0.230475
991	0.230626
992	0.229295
993	0.229758
994	0.229185
995	0.228234
996	0.229930
997	0.229065
998	0.231880
999	0.232032
1000	0.239187
1001	0.240822
1002	0.249093
1003	0.242481
1004	0.236055
1005	0.232754
1006	0.230554
1007	0.229999
1008	0.228655
1009	0.227789
1010	0.228660
1011	0.230175
1012	0.228621
1013	0.229754
1014	0.231394
1015	0.231731
1016	0.231257
1017	0.231940
1018	0.232599
1019	0.229213
1020	0.232296
1021	0.232021
1022	0.236054
1023	0.235239
1024	0.235473
1025	0.235139
1026	0.231240
1027	0.232678
1028	0.234392
1029	0.236413
1030	0.233645
1031	0.234207
1032	0.229954
1033	0.228729
1034	0.230751
1035	0.229525
1036	0.229875
1037	0.230799
1038	0.231353
1039	0.233175
1040	0.233689
1041	0.230711
1042	0.234195
1043	0.250903
1044	0.235490
1045	0.231459
1046	0.240830
1047	0.238751
1048	0.237886
1049	0.230538
1050	0.233213
1051	0.229451
1052	0.230129
1053	0.238737
1054	0.244050
1055	0.239388
1056	0.239325
1057	0.229573
1058	0.231856
1059	0.242890
1060	0.252987
1061	0.235864
1062	0.230281
1063	0.229048
1064	0.227374
1065	0.230659
1066	0.228878
1067	0.229747
1068	0.228953
1069	0.228271
1070	0.228070
1071	0.228743
1072	0.229257
1073	0.230935
1074	0.230380
1075	0.231022
1076	0.232259
1077	0.237521
1078	0.234382
1079	0.233332
1080	0.233581
1081	0.231138
1082	0.229684
1083	0.230858
1084	0.230242
1085	0.229980
1086	0.230595
1087	0.233913
1088	0.236500
1089	0.236254
1090	0.233091
1091	0.230148
1092	0.228633
1093	0.227850
1094	0.228615
1095	0.227770
1096	0.228401
1097	0.230367
1098	0.231596
1099	0.238274
1100	0.237399
1101	0.237461
1102	0.236473
1103	0.233670
1104	0.235081
1105	0.231584
1106	0.228522
1107	0.226804
1108	0.227624
1109	0.225303
1110	0.227952
1111	0.231002
1112	0.228834
1113	0.230857
1114	0.230175
1115	0.232904
1116	0.235539
1117	0.230432
1118	0.228537
1119	0.230250
1120	0.230408
1121	0.231878
1122	0.236651
1123	0.232515
1124	0.233087
1125	0.229235
1126	0.227537
1127	0.227261
1128	0.228930
1129	0.226960
1130	0.229766
1131	0.233101
1132	0.236642
1133	0.235148
1134	0.232014
1135	0.229253
1136	0.224590
1137	0.228322
1138	0.226830
1139	0.227034
1140	0.227005
1141	0.228224
1142	0.229026
1143	0.227929
1144	0.229912
1145	0.230740
1146	0.233402
1147	0.233648
1148	0.234373
1149	0.233019
1150	0.230797
1151	0.229143
1152	0.229211
1153	0.227150
1154	0.228048
1155	0.226329
1156	0.227881
1157	0.228308
1158	0.230055
1159	0.233086
1160	0.231971
1161	0.233350
1162	0.231833
1163	0.231228
1164	0.230565
1165	0.229511
1166	0.230680
1167	0.228018
1168	0.228363
1169	0.227480
1170	0.229395
1171	0.229965
1172	0.229779
1173	0.229871
1174	0.230617
1175	0.229911
1176	0.230381
1177	0.228882
1178	0.228680
1179	0.227881
1180	0.229251
1181	0.230096
1182	0.229331
1183	0.232460
1184	0.234964
1185	0.230337
1186	0.230499
1187	0.230201
1188	0.227933
1189	0.228282
1190	0.228008
1191	0.227507
1192	0.227255
1193	0.229213
1194	0.229136
1195	0.230895
1196	0.231866
1197	0.231199
1198	0.231742
1199	0.225608
1200	0.227352
1201	0.231194
1202	0.230417
1203	0.227682
1204	0.226693
1205	0.229775
1206	0.230667
1207	0.232191
1208	0.232335
1209	0.232625
1210	0.230128
1211	0.226855
1212	0.227629
1213	0.228518
1214	0.228729
1215	0.228916
1216	0.230141
1217	0.230172
1218	0.228079
1219	0.229088
1220	0.227555
1221	0.229281
1222	0.228854
1223	0.229495
1224	0.228558
1225	0.229516
1226	0.229253
1227	0.228730
1228	0.229141
1229	0.227618
1230	0.228666
1231	0.227820
1232	0.226843
1233	0.228276
1234	0.230159
1235	0.227802
1236	0.231956
1237	0.235781
1238	0.234528
1239	0.231976
1240	0.229641
1241	0.227861
1242	0.228575
1243	0.226878
1244	0.226583
1245	0.226549
1246	0.228524
1247	0.229559
1248	0.230084
1249	0.231131
1250	0.230951
1251	0.232026
1252	0.229582
1253	0.227758
1254	0.231557
1255	0.227789
1256	0.226769
1257	0.227949
1258	0.228549
1259	0.228943
1260	0.226411
1261	0.228495
1262	0.228835
1263	0.234447
1264	0.232250
1265	0.232164
1266	0.229443
1267	0.228913
1268	0.230484
1269	0.235802
1270	0.229304
1271	0.230128
1272	0.227601
1273	0.226597
1274	0.225345
1275	0.227632
1276	0.227130
1277	0.226377
1278	0.227087
1279	0.228661
1280	0.227256
1281	0.228981
1282	0.227304
1283	0.228783
1284	0.230103
1285	0.230658
1286	0.229799
1287	0.228865
1288	0.229574
1289	0.227289
1290	0.228184
1291	0.227769
1292	0.229134
1293	0.228297
1294	0.229431
1295	0.228002
1296	0.228954
1297	0.231692
1298	0.230354
1299	0.227858
1300	0.228903
1301	0.229456
1302	0.228812
1303	0.228584
1304	0.227929
1305	0.229715
1306	0.229790
1307	0.230855
1308	0.230066
1309	0.230257
1310	0.228341
1311	0.227285
1312	0.227728
1313	0.227920
1314	0.229922
1315	0.227821
1316	0.229838
1317	0.227697
1318	0.229958
1319	0.227840
1320	0.228691
1321	0.227865
1322	0.229196
1323	0.231874
1324	0.230693
1325	0.230318
1326	0.239130
1327	0.260365
1328	0.252097
1329	0.235433
1330	0.227916
1331	0.227347
1332	0.228624
1333	0.227842
1334	0.227196
1335	0.227403
1336	0.226236
1337	0.229414
1338	0.224574
1339	0.228164
1340	0.228117
1341	0.229627
1342	0.228368
1343	0.230027
1344	0.229878
1345	0.228342
1346	0.228346
1347	0.228665
1348	0.226954
1349	0.227212
1350	0.229023
1351	0.229815
1352	0.228860
1353	0.227909
1354	0.228234
1355	0.228685
1356	0.228115
1357	0.226720
1358	0.228567
1359	0.227436
1360	0.228345
1361	0.227153
1362	0.225075
1363	0.225991
1364	0.225167
1365	0.227166
1366	0.227257
1367	0.227197
1368	0.229807
1369	0.226733
1370	0.230832
1371	0.230915
1372	0.234457
1373	0.261618
1374	0.229909
1375	0.226689
1376	0.225783
1377	0.225309
1378	0.226630
1379	0.228577
1380	0.225263
1381	0.225862
1382	0.226901
1383	0.226505
1384	0.225843
1385	0.231060
1386	0.231646
1387	0.231948
1388	0.229956
1389	0.229781
1390	0.226507
1391	0.226401
1392	0.226666
1393	0.227284
1394	0.227697
1395	0.227232
1396	0.226345
1397	0.229015
1398	0.228672
1399	0.228339
1400	0.228858
1401	0.231012
1402	0.230715
1403	0.230578
1404	0.229939
1405	0.229073
1406	0.228220
1407	0.226965
1408	0.227969
1409	0.227532
1410	0.228487
1411	0.227191
1412	0.228364
1413	0.227463
1414	0.228865
1415	0.232674
1416	0.231820
1417	0.229139
1418	0.228105
1419	0.224832
1420	0.226908
1421	0.227438
1422	0.227303
1423	0.225728
1424	0.229152
1425	0.226179
1426	0.226506
1427	0.228082
1428	0.230591
1429	0.248995
1430	0.230391
1431	0.231417
1432	0.228065
1433	0.227090
1434	0.227357
1435	0.226776
1436	0.224720
1437	0.226607
1438	0.224173
1439	0.226964
1440	0.226825
1441	0.229566
1442	0.229679
1443	0.231038
1444	0.231055
1445	0.226835
1446	0.227804
1447	0.230558
1448	0.229883
1449	0.228770
1450	0.226503
1451	0.224717
1452	0.227105
1453	0.225619
1454	0.227706
1455	0.226795
1456	0.227360
1457	0.229984
1458	0.228956
1459	0.229710
1460	0.230952
1461	0.228851
1462	0.227692
1463	0.230376
1464	0.229902
1465	0.227606
1466	0.228382
1467	0.227366
1468	0.227488
1469	0.227802
1470	0.226383
1471	0.228244
1472	0.228948
1473	0.226806
1474	0.229562
1475	0.229850
1476	0.231296
1477	0.230709
1478	0.228707
1479	0.226673
1480	0.229359
1481	0.227676
1482	0.225919
1483	0.225944
1484	0.228344
1485	0.229624
1486	0.228258
1487	0.228427
1488	0.228774
1489	0.228181
1490	0.226639
1491	0.227570
1492	0.225449
1493	0.227704
1494	0.231170
1495	0.232358
1496	0.231758
1497	0.227390
1498	0.228411
1499	0.227102
1500	0.226691
1501	0.225430
1502	0.226338
1503	0.227415
1504	0.226203
1505	0.228324
1506	0.227968
1507	0.230433
1508	0.244182
1509	0.228365
1510	0.227880
1511	0.228922
1512	0.226264
1513	0.227070
1514	0.229719
1515	0.227483
1516	0.230350
1517	0.229125
1518	0.229358
1519	0.227306
1520	0.226949
1521	0.225755
1522	0.227220
1523	0.227929
1524	0.227600
1525	0.226852
1526	0.229034
1527	0.227142
1528	0.226891
1529	0.226507
1530	0.226821
1531	0.227425
1532	0.226770
1533	0.226270
1534	0.229062
1535	0.227081
1536	0.227837
